datetime,deviceId,inputId,value
2022-02-06T16:03:59.733+01:00,kitchenLamp,colorPicker,50
2022-02-06T16:04:07.782+01:00,heater,heater,25
2022-02-06T16:04:09.400+01:00,heater,heater,27
2022-02-06T16:04:19.052+01:00,livingRoomLamp,colorPicker,30
2022-02-06T16:04:20.616+01:00,0fed2f39-1256-4781-a51e-3607286f0ab3,colorPicker,70
2022-02-06T16:04:21.431+01:00,0fed2f39-1256-4781-a51e-3607286f0ab3,colorPicker,90
2022-02-06T16:04:25.986+01:00,kitchenLamp,colorPicker,60
2022-02-06T16:10:24.741+01:00,0fed2f39-1256-4781-a51e-3607286f0ab3,turn,off
2022-02-06T16:11:56.277+01:00,livingRoomLamp,turn,off
2022-02-06T16:12:32.610+01:00,livingRoomLamp,red,85
2022-02-06T16:12:32.610+01:00,livingRoomLamp,green,17
2022-02-06T16:12:32.610+01:00,livingRoomLamp,blue,17
2022-02-06T16:12:49.656+01:00,livingRoomLamp,green,182
2022-02-06T16:12:49.656+01:00,livingRoomLamp,red,2
2022-02-06T16:12:49.656+01:00,livingRoomLamp,blue,242
2022-02-06T16:13:00.356+01:00,kitchenLamp,turn,off
2022-02-06T16:13:27.996+01:00,kitchenLamp,red,40
2022-02-06T16:13:27.996+01:00,kitchenLamp,green,36
2022-02-06T16:13:27.997+01:00,kitchenLamp,blue,36
2022-02-06T16:13:31.483+01:00,kitchenLamp,green,0
2022-02-06T16:13:31.483+01:00,kitchenLamp,red,0
2022-02-06T16:13:31.483+01:00,kitchenLamp,blue,0
2022-02-06T16:13:36.259+01:00,kitchenLamp,red,255
2022-02-06T16:13:36.260+01:00,kitchenLamp,green,255
2022-02-06T16:13:36.260+01:00,kitchenLamp,blue,255
2022-02-06T16:13:42.125+01:00,kitchenLamp,red,234
2022-02-06T16:13:42.125+01:00,kitchenLamp,green,87
2022-02-06T16:13:42.126+01:00,kitchenLamp,blue,87
2022-02-06T16:13:46.500+01:00,0fed2f39-1256-4781-a51e-3607286f0ab3,red,210
2022-02-06T16:13:46.500+01:00,0fed2f39-1256-4781-a51e-3607286f0ab3,green,173
2022-02-06T16:13:46.500+01:00,0fed2f39-1256-4781-a51e-3607286f0ab3,blue,173
